2026-02-25 09:35:02,333 [WARNING] urllib3.connectionpool — Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ConnectionResetError(54, 'Connection reset by peer')': /search?q=%D0%9D%D0%BE%D0%B2%D0%BE%D0%B5+%D0%9F%D0%BE%D0%B1%D0%B5%D0%B4%D0%B8%D0%BB%D0%BE%D0%B2%D0%BE%2C+%D0%9A%D0%B0%D0%B7%D0%B0%D0%BD%D1%8C&format=json&limit=1&accept-language=ru
2026-02-25 09:54:37,723 [WARNING] urllib3.connectionpool — Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ConnectionResetError(54, 'Connection reset by peer')': /search?q=9-%D0%B9+%D0%BA%D0%B2%D0%B0%D1%80%D1%82%D0%B0%D0%BB%2C+%D0%A1%D0%B0%D0%BC%D0%B0%D1%80%D0%B0&format=json&limit=1&accept-language=ru
2026-02-25 10:05:45,565 [WARNING] urllib3.connectionpool — Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ConnectionResetError(54, 'Connection reset by peer')': /osm/tools/overpass/api/interpreter
2026-02-25 10:05:46,010 [WARNING] urllib3.connectionpool — Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ConnectionResetError(54, 'Connection reset by peer')': /1.x/?apikey=e27943f8-c65f-4361-8c7c-780e1bef1f63&geocode=%D0%BC%D0%B0%D0%B3%D0%B0%D0%B7%D0%B8%D0%BD%2C+%D0%9A%D0%BE%D1%80%D0%B4%D0%BD%D1%8B%D0%B9&format=json&results=5&ll=73.446292%2C54.960824&spn=0.015%2C0.015
2026-02-25 10:08:42,270 [WARNING] urllib3.connectionpool — Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ConnectionResetError(54, 'Connection reset by peer')': /sparql?query=%0A++++SELECT+%3Fpop+WHERE+%7B%0A++++++%3Fcity+rdfs%3Alabel+%22%D0%A0%D0%BE%D1%81%D1%82%D0%BE%D0%B2-%D0%BD%D0%B0-%D0%94%D0%BE%D0%BD%D1%83%22%40ru+.%0A++++++%3Fcity+wdt%3AP1082+%3Fpop+.%0A++++%7D+ORDER+BY+DESC%28%3Fpop%29+LIMIT+1%0A++++&format=json
2026-02-25 10:18:24,662 [INFO] urbanpulse — Пропуск мета-зоны: городской округ Астрахань (admin=6)
2026-02-26 16:19:12,167 [INFO] WDM — ====== WebDriver manager ======
2026-02-26 16:19:14,888 [INFO] WDM — Get LATEST chromedriver version for google-chrome
2026-02-26 16:19:15,365 [INFO] WDM — Get LATEST chromedriver version for google-chrome
2026-02-26 16:19:15,745 [INFO] WDM — Driver [/Users/arturboev/.wdm/drivers/chromedriver/mac64/145.0.7632.117/chromedriver-mac-arm64/chromedriver] found in cache
2026-02-26 16:29:14,784 [WARNING] urbanpulse — Яндекс reverse: 403 Forbidden
2026-02-26 16:29:14,789 [WARNING] urbanpulse — rev_ya вернул None для центра города. Проверьте ключ Яндекс API. Используем Nominatim.
2026-02-26 16:36:44,907 [INFO] urbanpulse — Не город: Агурские водопады (2 зданий, 9.3км)
2026-02-26 16:36:45,946 [INFO] urbanpulse — Не город: Сарай (3 зданий, 8.5км)
2026-02-26 16:38:05,337 [INFO] WDM — ====== WebDriver manager ======
2026-02-26 16:38:11,163 [INFO] WDM — Get LATEST chromedriver version for google-chrome
2026-02-26 16:38:11,601 [INFO] WDM — Get LATEST chromedriver version for google-chrome
2026-02-26 16:38:12,049 [INFO] WDM — Driver [/Users/arturboev/.wdm/drivers/chromedriver/mac64/145.0.7632.117/chromedriver-mac-arm64/chromedriver] found in cache
2026-02-26 16:53:46,157 [WARNING] urbanpulse — Яндекс reverse: 403 Forbidden
2026-02-26 16:53:46,159 [WARNING] urbanpulse — rev_ya вернул None для центра города. Проверьте ключ Яндекс API. Используем Nominatim.
2026-02-26 17:04:28,724 [INFO] WDM — ====== WebDriver manager ======
2026-02-26 17:04:29,638 [INFO] WDM — Get LATEST chromedriver version for google-chrome
2026-02-26 17:04:30,106 [INFO] WDM — Get LATEST chromedriver version for google-chrome
2026-02-26 17:04:30,555 [INFO] WDM — Driver [/Users/arturboev/.wdm/drivers/chromedriver/mac64/145.0.7632.117/chromedriver-mac-arm64/chromedriver] found in cache
2026-02-26 17:30:19,946 [WARNING] urbanpulse — Яндекс reverse: 403 Forbidden
2026-02-26 17:30:19,948 [WARNING] urbanpulse — rev_ya вернул None для центра города. Проверьте ключ Яндекс API. Используем Nominatim.
2026-02-26 17:39:05,749 [INFO] urbanpulse — Не город: Нижний Новгород (Стригино) (7 зданий, 12.0км)
2026-02-26 17:39:10,073 [INFO] urbanpulse — Не город: 1-ая Мельница (6 зданий, 11.4км)
2026-02-26 17:39:44,483 [WARNING] urllib3.connectionpool — Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ReadTimeoutError("HTTPSConnectionPool(host='overpass.openstreetmap.ru', port=443): Read timed out. (read timeout=20)")': /api/interpreter
2026-02-26 17:40:06,519 [WARNING] urllib3.connectionpool — Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ReadTimeoutError("HTTPSConnectionPool(host='overpass.openstreetmap.ru', port=443): Read timed out. (read timeout=20)")': /api/interpreter
2026-02-26 17:40:30,560 [WARNING] urllib3.connectionpool — Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ReadTimeoutError("HTTPSConnectionPool(host='overpass.openstreetmap.ru', port=443): Read timed out. (read timeout=20)")': /api/interpreter
2026-02-26 17:43:31,534 [INFO] WDM — ====== WebDriver manager ======
2026-02-26 17:43:33,291 [INFO] WDM — Get LATEST chromedriver version for google-chrome
2026-02-26 17:43:33,797 [INFO] WDM — Get LATEST chromedriver version for google-chrome
2026-02-26 17:43:34,304 [INFO] WDM — Driver [/Users/arturboev/.wdm/drivers/chromedriver/mac64/145.0.7632.117/chromedriver-mac-arm64/chromedriver] found in cache
2026-02-26 18:12:30,156 [WARNING] urbanpulse — Яндекс reverse: 403 Forbidden
2026-02-26 18:12:30,159 [WARNING] urbanpulse — rev_ya вернул None для центра города. Проверьте ключ Яндекс API. Используем Nominatim.
2026-02-26 18:21:49,787 [INFO] urbanpulse — Не город: Малакуль (0 зданий, 6.9км)
2026-02-26 18:22:21,054 [INFO] urbanpulse — Не город: Петроград (0 зданий, 11.5км)
2026-02-26 18:22:25,098 [INFO] urbanpulse — Не город: Развалины Геологоразведки (5 зданий, 6.6км)
2026-02-26 18:25:10,436 [INFO] WDM — ====== WebDriver manager ======
2026-02-26 18:25:11,914 [INFO] WDM — Get LATEST chromedriver version for google-chrome
2026-02-26 18:25:12,576 [INFO] WDM — Get LATEST chromedriver version for google-chrome
2026-02-26 18:25:12,979 [INFO] WDM — Driver [/Users/arturboev/.wdm/drivers/chromedriver/mac64/145.0.7632.117/chromedriver-mac-arm64/chromedriver] found in cache
2026-02-26 18:56:40,982 [WARNING] urbanpulse — Яндекс reverse: 403 Forbidden
2026-02-26 18:56:40,984 [WARNING] urbanpulse — rev_ya вернул None для центра города. Проверьте ключ Яндекс API. Используем Nominatim.
2026-02-26 19:08:34,747 [INFO] WDM — ====== WebDriver manager ======
2026-02-26 19:08:35,981 [INFO] WDM — Get LATEST chromedriver version for google-chrome
2026-02-26 19:08:36,436 [INFO] WDM — Get LATEST chromedriver version for google-chrome
2026-02-26 19:08:37,032 [INFO] WDM — Driver [/Users/arturboev/.wdm/drivers/chromedriver/mac64/145.0.7632.117/chromedriver-mac-arm64/chromedriver] found in cache
2026-02-26 19:40:18,956 [WARNING] urbanpulse — Яндекс reverse: 403 Forbidden
2026-02-26 19:40:18,958 [WARNING] urbanpulse — rev_ya вернул None для центра города. Проверьте ключ Яндекс API. Используем Nominatim.
2026-02-26 20:19:44,637 [WARNING] urbanpulse — Яндекс reverse: 403 Forbidden
2026-02-26 20:19:44,639 [WARNING] urbanpulse — rev_ya вернул None для центра города. Проверьте ключ Яндекс API. Используем Nominatim.
2026-02-26 20:20:20,754 [WARNING] urllib3.connectionpool — Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ReadTimeoutError("HTTPSConnectionPool(host='nominatim.openstreetmap.org', port=443): Read timed out. (read timeout=10)")': /reverse?lat=46.27773&lon=47.96249&format=json&zoom=17&accept-language=ru&addressdetails=1
2026-02-26 20:26:53,215 [INFO] WDM — ====== WebDriver manager ======
2026-02-26 20:26:54,597 [INFO] WDM — Get LATEST chromedriver version for google-chrome
2026-02-26 20:26:55,230 [INFO] WDM — Get LATEST chromedriver version for google-chrome
2026-02-26 20:26:56,028 [INFO] WDM — Driver [/Users/arturboev/.wdm/drivers/chromedriver/mac64/145.0.7632.117/chromedriver-mac-arm64/chromedriver] found in cache
2026-02-26 20:29:23,370 [WARNING] urllib3.connectionpool — Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError("HTTPConnection(host='localhost', port=64767): Failed to establish a new connection: [Errno 61] Connection refused")': /session/33e4585bda2eb3372d3201c01166706c
2026-02-26 20:29:23,386 [WARNING] urllib3.connectionpool — Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError("HTTPConnection(host='localhost', port=64767): Failed to establish a new connection: [Errno 61] Connection refused")': /session/33e4585bda2eb3372d3201c01166706c
2026-02-26 20:29:23,386 [WARNING] urllib3.connectionpool — Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError("HTTPConnection(host='localhost', port=64767): Failed to establish a new connection: [Errno 61] Connection refused")': /session/33e4585bda2eb3372d3201c01166706c
2026-02-26 20:29:39,707 [INFO] urbanpulse — Не город: Тихая (5 зданий, 8.9км)
2026-02-26 20:51:51,359 [WARNING] urbanpulse — Яндекс reverse: 403 Forbidden
2026-02-26 20:51:51,359 [WARNING] urbanpulse — rev_ya вернул None для центра города. Проверьте ключ Яндекс API. Используем Nominatim.
2026-02-26 20:54:10,183 [WARNING] urllib3.connectionpool — Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ReadTimeoutError("HTTPSConnectionPool(host='nominatim.openstreetmap.org', port=443): Read timed out. (read timeout=10)")': /reverse?lat=46.33178&lon=47.96249&format=json&zoom=13&accept-language=ru&addressdetails=1
2026-02-26 20:57:06,754 [WARNING] urbanpulse — Яндекс reverse: 403 Forbidden
2026-02-26 20:57:06,755 [WARNING] urbanpulse — rev_ya вернул None для центра города. Проверьте ключ Яндекс API. Используем Nominatim.
2026-02-26 20:57:45,851 [WARNING] urllib3.connectionpool — Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ReadTimeoutError("HTTPSConnectionPool(host='nominatim.openstreetmap.org', port=443): Read timed out. (read timeout=10)")': /reverse?lat=46.27773&lon=47.98859&format=json&zoom=17&accept-language=ru&addressdetails=1
2026-02-26 21:07:02,442 [WARNING] urbanpulse — Яндекс reverse: 403 Forbidden
2026-02-26 21:07:02,443 [WARNING] urbanpulse — rev_ya вернул None для центра города. Проверьте ключ Яндекс API. Используем Nominatim.
2026-02-26 21:13:41,134 [INFO] WDM — ====== WebDriver manager ======
2026-02-26 21:13:42,720 [INFO] WDM — Get LATEST chromedriver version for google-chrome
2026-02-26 21:13:43,413 [INFO] WDM — Get LATEST chromedriver version for google-chrome
2026-02-26 21:13:44,519 [INFO] WDM — Driver [/Users/arturboev/.wdm/drivers/chromedriver/mac64/145.0.7632.117/chromedriver-mac-arm64/chromedriver] found in cache
2026-02-26 21:25:48,574 [INFO] urbanpulse — Не город: Тихая (5 зданий, 8.9км)
2026-02-26 21:26:10,416 [WARNING] urbanpulse — Яндекс reverse: 403 Forbidden
2026-02-26 21:26:10,418 [WARNING] urbanpulse — rev_ya вернул None для центра города. Проверьте ключ Яндекс API. Используем Nominatim.
2026-02-26 21:33:28,245 [INFO] WDM — ====== WebDriver manager ======
2026-02-26 21:33:29,611 [INFO] WDM — Get LATEST chromedriver version for google-chrome
2026-02-26 21:33:30,086 [INFO] WDM — Get LATEST chromedriver version for google-chrome
2026-02-26 21:33:30,565 [INFO] WDM — Driver [/Users/arturboev/.wdm/drivers/chromedriver/mac64/145.0.7632.117/chromedriver-mac-arm64/chromedriver] found in cache
2026-02-26 22:00:07,736 [WARNING] urbanpulse — Яндекс reverse: 403 Forbidden
2026-02-26 22:00:07,739 [WARNING] urbanpulse — rev_ya вернул None для центра города. Проверьте ключ Яндекс API. Используем Nominatim.
2026-02-26 22:07:40,495 [INFO] urbanpulse — Не город: Агурские водопады (2 зданий, 9.3км)
2026-02-26 22:07:41,174 [INFO] urbanpulse — Не город: Сарай (3 зданий, 8.5км)
2026-02-26 22:08:59,076 [INFO] WDM — ====== WebDriver manager ======
2026-02-26 22:09:00,305 [INFO] WDM — Get LATEST chromedriver version for google-chrome
2026-02-26 22:09:01,065 [INFO] WDM — Get LATEST chromedriver version for google-chrome
2026-02-26 22:09:01,991 [INFO] WDM — Driver [/Users/arturboev/.wdm/drivers/chromedriver/mac64/145.0.7632.117/chromedriver-mac-arm64/chromedriver] found in cache
2026-02-26 22:36:30,606 [WARNING] urbanpulse — Яндекс reverse: 403 Forbidden
2026-02-26 22:36:30,608 [WARNING] urbanpulse — rev_ya вернул None для центра города. Проверьте ключ Яндекс API. Используем Nominatim.
2026-02-26 22:46:24,035 [WARNING] urbanpulse — Яндекс reverse: 403 Forbidden
2026-02-26 22:46:24,036 [WARNING] urbanpulse — rev_ya вернул None для центра города. Проверьте ключ Яндекс API. Используем Nominatim.
2026-02-26 22:52:58,451 [INFO] WDM — ====== WebDriver manager ======
2026-02-26 22:52:59,891 [INFO] WDM — Get LATEST chromedriver version for google-chrome
2026-02-26 22:53:00,946 [INFO] WDM — Get LATEST chromedriver version for google-chrome
2026-02-26 22:53:01,725 [INFO] WDM — Driver [/Users/arturboev/.wdm/drivers/chromedriver/mac64/145.0.7632.117/chromedriver-mac-arm64/chromedriver] found in cache
2026-02-26 23:06:03,865 [INFO] urbanpulse — Preset-зона не геокодирована: Седанка (Владивосток)
2026-02-26 23:06:06,857 [INFO] urbanpulse — Preset-зона не геокодирована: Океанская (Владивосток)
2026-02-26 23:06:11,027 [INFO] urbanpulse — Не город: Тихая (5 зданий, 8.9км)
2026-02-26 23:06:34,498 [WARNING] urbanpulse — Яндекс reverse: 403 Forbidden
2026-02-26 23:06:34,499 [WARNING] urbanpulse — rev_ya вернул None для центра города. Проверьте ключ Яндекс API. Используем Nominatim.
2026-02-26 23:06:52,583 [WARNING] urllib3.connectionpool — Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ReadTimeoutError("HTTPSConnectionPool(host='nominatim.openstreetmap.org', port=443): Read timed out. (read timeout=10)")': /reverse?lat=43.02541&lon=131.86082&format=json&zoom=17&accept-language=ru&addressdetails=1
2026-02-26 23:12:32,536 [WARNING] urllib3.connectionpool — Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ReadTimeoutError("HTTPSConnectionPool(host='geocode-maps.yandex.ru', port=443): Read timed out. (read timeout=10)")': /1.x/?apikey=2aafc56d-05b1-4465-94ce-980731913acd&geocode=%D0%A4%D1%80%D1%83%D0%BD%D0%B7%D0%B5%D0%BD%D1%81%D0%BA%D0%B8%D0%B9+%D1%80%D0%B0%D0%B9%D0%BE%D0%BD%2C+%D0%92%D0%BB%D0%B0%D0%B4%D0%B8%D0%B2%D0%BE%D1%81%D1%82%D0%BE%D0%BA&format=json&results=1
2026-02-26 23:13:16,546 [WARNING] urllib3.connectionpool — Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ReadTimeoutError("HTTPSConnectionPool(host='maps.mail.ru', port=443): Read timed out. (read timeout=20)")': /osm/tools/overpass/api/interpreter
2026-02-26 23:13:34,732 [WARNING] urllib3.connectionpool — Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ReadTimeoutError("HTTPSConnectionPool(host='query.wikidata.org', port=443): Read timed out. (read timeout=5)")': /sparql?query=SELECT+%3Fp+WHERE+%7B%3Fc+rdfs%3Alabel+%22%D0%92%D0%BB%D0%B0%D0%B4%D0%B8%D0%B2%D0%BE%D1%81%D1%82%D0%BE%D0%BA%22%40ru.%3Fc+wdt%3AP1082+%3Fp.%7DORDER+BY+DESC%28%3Fp%29LIMIT+1&format=json
2026-02-26 23:14:44,862 [INFO] WDM — ====== WebDriver manager ======
2026-02-26 23:14:46,619 [INFO] WDM — Get LATEST chromedriver version for google-chrome
2026-02-26 23:14:47,288 [INFO] WDM — Get LATEST chromedriver version for google-chrome
2026-02-26 23:14:47,780 [INFO] WDM — Driver [/Users/arturboev/.wdm/drivers/chromedriver/mac64/145.0.7632.117/chromedriver-mac-arm64/chromedriver] found in cache
2026-02-26 23:35:41,218 [WARNING] urllib3.connectionpool — Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError("HTTPConnection(host='localhost', port=65017): Failed to establish a new connection: [Errno 61] Connection refused")': /session/01bdd9104b36c9352421232163899776
2026-02-26 23:35:41,232 [WARNING] urllib3.connectionpool — Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError("HTTPConnection(host='localhost', port=65017): Failed to establish a new connection: [Errno 61] Connection refused")': /session/01bdd9104b36c9352421232163899776
2026-02-26 23:35:41,233 [WARNING] urllib3.connectionpool — Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError("HTTPConnection(host='localhost', port=65017): Failed to establish a new connection: [Errno 61] Connection refused")': /session/01bdd9104b36c9352421232163899776
2026-02-26 23:36:27,884 [INFO] urbanpulse — Preset-зона не геокодирована: Седанка (Владивосток)
2026-02-26 23:36:30,887 [INFO] urbanpulse — Preset-зона не геокодирована: Океанская (Владивосток)
2026-02-26 23:36:34,085 [INFO] urbanpulse — Не город: Тихая (5 зданий, 8.9км)
2026-02-26 23:37:00,135 [WARNING] urbanpulse — Яндекс reverse: 403 Forbidden
2026-02-26 23:37:00,137 [WARNING] urbanpulse — rev_ya вернул None для центра города. Проверьте ключ Яндекс API. Используем Nominatim.
2026-02-26 23:39:44,723 [WARNING] urllib3.connectionpool — Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ReadTimeoutError("HTTPSConnectionPool(host='nominatim.openstreetmap.org', port=443): Read timed out. (read timeout=10)")': /reverse?lat=43.1155&lon=131.81145&format=json&zoom=15&accept-language=ru&addressdetails=1
2026-02-26 23:44:16,967 [INFO] WDM — ====== WebDriver manager ======
2026-02-26 23:44:18,262 [INFO] WDM — Get LATEST chromedriver version for google-chrome
2026-02-26 23:44:19,059 [INFO] WDM — Get LATEST chromedriver version for google-chrome
2026-02-26 23:44:19,965 [INFO] WDM — Driver [/Users/arturboev/.wdm/drivers/chromedriver/mac64/145.0.7632.117/chromedriver-mac-arm64/chromedriver] found in cache
2026-02-26 23:48:25,573 [INFO] urbanpulse — Preset-зона не геокодирована: Центр Сочи (Сочи)
2026-02-26 23:48:37,069 [INFO] urbanpulse — Preset-зона не геокодирована: Кудепста (Сочи)
2026-02-26 23:48:40,216 [INFO] urbanpulse — Preset-зона не геокодирована: Адлер (Сочи)
2026-02-26 23:48:43,142 [INFO] urbanpulse — Preset-зона не геокодирована: Курортный городок (Сочи)
2026-02-26 23:48:49,301 [INFO] urbanpulse — Preset-зона не геокодирована: Лоо (Сочи)
2026-02-26 23:48:52,346 [INFO] urbanpulse — Preset-зона не геокодирована: Красная Поляна (Сочи)
2026-02-26 23:49:06,601 [WARNING] urbanpulse — Яндекс reverse: 403 Forbidden
2026-02-26 23:49:06,602 [WARNING] urbanpulse — rev_ya вернул None для центра города. Проверьте ключ Яндекс API. Используем Nominatim.
2026-02-26 23:56:35,609 [INFO] urbanpulse — Не город: Агурские водопады (2 зданий, 9.3км)
2026-02-26 23:56:36,605 [INFO] urbanpulse — Не город: Сарай (3 зданий, 8.5км)
2026-02-26 23:57:41,914 [INFO] WDM — ====== WebDriver manager ======
2026-02-26 23:57:43,225 [INFO] WDM — Get LATEST chromedriver version for google-chrome
2026-02-26 23:57:43,709 [INFO] WDM — Get LATEST chromedriver version for google-chrome
2026-02-26 23:57:44,127 [INFO] WDM — Driver [/Users/arturboev/.wdm/drivers/chromedriver/mac64/145.0.7632.117/chromedriver-mac-arm64/chromedriver] found in cache
2026-02-27 00:10:07,972 [INFO] WDM — ====== WebDriver manager ======
2026-02-27 00:25:57,159 [INFO] WDM — Get LATEST chromedriver version for google-chrome
2026-02-27 00:26:06,222 [INFO] WDM — Get LATEST chromedriver version for google-chrome
2026-02-27 00:26:06,653 [INFO] WDM — Get LATEST chromedriver version for google-chrome
2026-02-27 00:26:08,020 [INFO] WDM — WebDriver version 145.0.7632.117 selected
2026-02-27 00:26:08,024 [INFO] WDM — Modern chrome version https://storage.googleapis.com/chrome-for-testing-public/145.0.7632.117/mac-arm64/chromedriver-mac-arm64.zip
2026-02-27 00:26:08,024 [INFO] WDM — About to download new driver from https://storage.googleapis.com/chrome-for-testing-public/145.0.7632.117/mac-arm64/chromedriver-mac-arm64.zip
2026-02-27 00:26:08,572 [INFO] WDM — Driver downloading response is 200
2026-02-27 00:26:14,778 [INFO] WDM — Get LATEST chromedriver version for google-chrome
2026-02-27 00:26:15,418 [INFO] WDM — Driver has been saved in cache [/Users/arturboev/.wdm/drivers/chromedriver/mac64/145.0.7632.117]
2026-02-27 00:26:15,453 [INFO] WDM — ====== WebDriver manager ======
2026-02-27 00:26:16,036 [INFO] WDM — Get LATEST chromedriver version for google-chrome
2026-02-27 00:26:16,517 [INFO] WDM — Get LATEST chromedriver version for google-chrome
2026-02-27 00:26:17,028 [INFO] WDM — Driver [/Users/arturboev/.wdm/drivers/chromedriver/mac64/145.0.7632.117/chromedriver-mac-arm64/chromedriver] found in cache
2026-02-27 00:43:26,448 [ERROR] selenium.webdriver.common.service — Service process refused to terminate gracefully with SIGTERM, escalating to SIGKILL.
Traceback (most recent call last):
  File "/Users/arturboev/Documents/urbanpulse/UrbanPulse/.venv/lib/python3.13/site-packages/selenium/webdriver/common/service.py", line 184, in _terminate_process
    self.process.wait(60)
    ~~~~~~~~~~~~~~~~~^^^^
  File "/opt/anaconda3/lib/python3.13/subprocess.py", line 1280, in wait
    return self._wait(timeout=timeout)
           ~~~~~~~~~~^^^^^^^^^^^^^^^^^
  File "/opt/anaconda3/lib/python3.13/subprocess.py", line 2058, in _wait
    raise TimeoutExpired(self.args, timeout)
subprocess.TimeoutExpired: Command '['/Users/arturboev/.wdm/drivers/chromedriver/mac64/145.0.7632.117/chromedriver-mac-arm64/chromedriver', '--enable-chrome-logs', '--port=54451']' timed out after 60 seconds
2026-02-27 00:43:26,515 [INFO] WDM — ====== WebDriver manager ======
2026-02-27 00:43:27,377 [INFO] WDM — Get LATEST chromedriver version for google-chrome
2026-02-27 00:43:28,210 [INFO] WDM — Get LATEST chromedriver version for google-chrome
2026-02-27 00:43:28,659 [INFO] WDM — Driver [/Users/arturboev/.wdm/drivers/chromedriver/mac64/145.0.7632.117/chromedriver-mac-arm64/chromedriver] found in cache
2026-02-27 01:16:49,151 [ERROR] selenium.webdriver.common.service — Service process refused to terminate gracefully with SIGTERM, escalating to SIGKILL.
Traceback (most recent call last):
  File "/Users/arturboev/Documents/urbanpulse/UrbanPulse/.venv/lib/python3.13/site-packages/selenium/webdriver/common/service.py", line 184, in _terminate_process
    self.process.wait(60)
    ~~~~~~~~~~~~~~~~~^^^^
  File "/opt/anaconda3/lib/python3.13/subprocess.py", line 1280, in wait
    return self._wait(timeout=timeout)
           ~~~~~~~~~~^^^^^^^^^^^^^^^^^
  File "/opt/anaconda3/lib/python3.13/subprocess.py", line 2058, in _wait
    raise TimeoutExpired(self.args, timeout)
subprocess.TimeoutExpired: Command '['/Users/arturboev/.wdm/drivers/chromedriver/mac64/145.0.7632.117/chromedriver-mac-arm64/chromedriver', '--enable-chrome-logs', '--port=55271']' timed out after 60 seconds
2026-02-27 01:16:49,175 [INFO] WDM — ====== WebDriver manager ======
2026-02-27 01:16:49,961 [INFO] WDM — Get LATEST chromedriver version for google-chrome
2026-02-27 01:16:50,560 [INFO] WDM — Get LATEST chromedriver version for google-chrome
2026-02-27 01:16:51,065 [INFO] WDM — Driver [/Users/arturboev/.wdm/drivers/chromedriver/mac64/145.0.7632.117/chromedriver-mac-arm64/chromedriver] found in cache
2026-02-27 01:48:57,341 [ERROR] selenium.webdriver.common.service — Service process refused to terminate gracefully with SIGTERM, escalating to SIGKILL.
Traceback (most recent call last):
  File "/Users/arturboev/Documents/urbanpulse/UrbanPulse/.venv/lib/python3.13/site-packages/selenium/webdriver/common/service.py", line 184, in _terminate_process
    self.process.wait(60)
    ~~~~~~~~~~~~~~~~~^^^^
  File "/opt/anaconda3/lib/python3.13/subprocess.py", line 1280, in wait
    return self._wait(timeout=timeout)
           ~~~~~~~~~~^^^^^^^^^^^^^^^^^
  File "/opt/anaconda3/lib/python3.13/subprocess.py", line 2058, in _wait
    raise TimeoutExpired(self.args, timeout)
subprocess.TimeoutExpired: Command '['/Users/arturboev/.wdm/drivers/chromedriver/mac64/145.0.7632.117/chromedriver-mac-arm64/chromedriver', '--enable-chrome-logs', '--port=56527']' timed out after 60 seconds
2026-02-27 01:48:57,363 [INFO] WDM — ====== WebDriver manager ======
2026-02-27 01:48:58,088 [INFO] WDM — Get LATEST chromedriver version for google-chrome
2026-02-27 01:48:58,885 [INFO] WDM — Get LATEST chromedriver version for google-chrome
2026-02-27 01:48:59,613 [INFO] WDM — Driver [/Users/arturboev/.wdm/drivers/chromedriver/mac64/145.0.7632.117/chromedriver-mac-arm64/chromedriver] found in cache
2026-02-27 02:11:26,056 [ERROR] selenium.webdriver.common.service — Service process refused to terminate gracefully with SIGTERM, escalating to SIGKILL.
Traceback (most recent call last):
  File "/Users/arturboev/Documents/urbanpulse/UrbanPulse/.venv/lib/python3.13/site-packages/selenium/webdriver/common/service.py", line 184, in _terminate_process
    self.process.wait(60)
    ~~~~~~~~~~~~~~~~~^^^^
  File "/opt/anaconda3/lib/python3.13/subprocess.py", line 1280, in wait
    return self._wait(timeout=timeout)
           ~~~~~~~~~~^^^^^^^^^^^^^^^^^
  File "/opt/anaconda3/lib/python3.13/subprocess.py", line 2058, in _wait
    raise TimeoutExpired(self.args, timeout)
subprocess.TimeoutExpired: Command '['/Users/arturboev/.wdm/drivers/chromedriver/mac64/145.0.7632.117/chromedriver-mac-arm64/chromedriver', '--enable-chrome-logs', '--port=57666']' timed out after 60 seconds
2026-02-27 02:11:26,073 [INFO] WDM — ====== WebDriver manager ======
2026-02-27 02:11:26,922 [INFO] WDM — Get LATEST chromedriver version for google-chrome
2026-02-27 02:11:27,488 [INFO] WDM — Get LATEST chromedriver version for google-chrome
2026-02-27 02:11:32,190 [INFO] WDM — Driver [/Users/arturboev/.wdm/drivers/chromedriver/mac64/145.0.7632.117/chromedriver-mac-arm64/chromedriver] found in cache
2026-02-27 02:44:16,745 [ERROR] selenium.webdriver.common.service — Service process refused to terminate gracefully with SIGTERM, escalating to SIGKILL.
Traceback (most recent call last):
  File "/Users/arturboev/Documents/urbanpulse/UrbanPulse/.venv/lib/python3.13/site-packages/selenium/webdriver/common/service.py", line 184, in _terminate_process
    self.process.wait(60)
    ~~~~~~~~~~~~~~~~~^^^^
  File "/opt/anaconda3/lib/python3.13/subprocess.py", line 1280, in wait
    return self._wait(timeout=timeout)
           ~~~~~~~~~~^^^^^^^^^^^^^^^^^
  File "/opt/anaconda3/lib/python3.13/subprocess.py", line 2058, in _wait
